Player,Birth,Position,Market Value,Contract Expired,Joined,Appearance,Goals,Assists,Team Rank,Transfer
Hugo Lloris,"Dec 26, 1986 (34)",Goalkeeper,€9.00m,"Jan 31, 2024","Aug 31, 2012",48,0,0,7,0
Paulo Gazzaniga,"Jan 2, 1992 (29)",Goalkeeper,€3.00m,"Jun 30, 2021","Aug 23, 2017",8,0,0,7,1
Joe Hart,"Apr 19, 1987 (34)",Goalkeeper,€2.00m,"Jun 30, 2022","Aug 18, 2020",10,0,0,7,1
Alfie Whiteman,"Oct 2, 1998 (22)",Goalkeeper,€1.00m,"Jun 30, 2025","Jul 1, 2019",17,0,0,7,0
Davinson Sánchez,"Jun 12, 1996 (25)",Defender - Centre-Back,€32.00m,"Jun 30, 2024","Aug 23, 2017",32,2,0,7,0
Eric Dier,"Jan 15, 1994 (27)",Defender - Centre-Back,€22.00m,"Jun 30, 2024","Jul 31, 2014",39,0,0,7,0
Ben Davies,"Apr 24, 1993 (28)",Defender - Centre-Back,€16.00m,"Jun 30, 2025","Jul 23, 2014",38,1,3,7,0
Toby Alderweireld,"Mar 2, 1989 (32)",Defender - Centre-Back,€11.00m,"Jun 30, 2023","Jul 8, 2015",35,1,0,7,1
Joe Rodon,"Oct 22, 1997 (23)",Defender - Centre-Back,€10.00m,"Jun 30, 2025","Oct 16, 2020",19,0,0,7,0
Japhet Tanganga,"Mar 31, 1999 (22)",Defender - Centre-Back,€8.00m,"Jun 30, 2024","Jan 1, 2020",13,0,0,7,0
Cameron Carter-Vickers,"Dec 31, 1997 (23)",Defender - Centre-Back,€2.00m,"Jun 30, 2023","Jul 1, 2016",26,1,1,7,0
Sergio Reguilón,"Dec 16, 1996 (24)",Defender - Left-Back,€25.00m,"Jun 30, 2025","Sep 19, 2020",36,0,5,7,0
Ryan Sessegnon,"May 18, 2000 (21)",Defender - Left-Back,€18.00m,"Jun 30, 2024","Aug 8, 2019",29,2,3,7,0
Danny Rose,"Jul 2, 1990 (30)",Defender - Left-Back,€3.00m,"Jun 30, 2021","Jun 25, 2007",2,0,1,7,1
Serge Aurier,"Dec 24, 1992 (28)",Defender - Right-Back,€20.00m,"Aug 31, 2021","Aug 31, 2017",27,2,3,7,1
Matt Doherty,"Jan 16, 1992 (29)",Defender - Right-Back,€16.00m,"Jan 31, 2023","Aug 30, 2020",29,0,4,7,0
Pierre-Emile Højbjerg,"Aug 5, 1995 (25)",Midfield - Defensive Midfield,€35.00m,"Jun 30, 2025","Aug 11, 2020",53,2,5,7,0
Harry Winks,"Feb 2, 1996 (25)",Midfield - Defensive Midfield,€20.00m,"Jun 30, 2024","Jul 1, 2016",30,2,2,7,0
Oliver Skipp,"Sep 16, 2000 (20)",Midfield - Defensive Midfield,€10.00m,"Jun 30, 2027","Jul 1, 2018",47,1,2,7,0
Tanguy Ndombélé,"Dec 28, 1996 (24)",Midfield - Central Midfield,€50.00m,"Jun 30, 2024","Jul 2, 2019",46,6,4,7,0
Giovani Lo Celso,"Apr 9, 1996 (25)",Midfield - Central Midfield,€27.00m,"Jun 30, 2025","Jul 1, 2020",28,5,1,7,0
Moussa Sissoko,"Aug 16, 1989 (31)",Midfield - Central Midfield,€10.00m,"Jun 30, 2023","Aug 31, 2016",42,1,1,7,1
Dele Alli,"Apr 11, 1996 (25)",Midfield - Attacking Midfield,€30.00m,"Jan 31, 2022","Feb 2, 2015",29,3,5,7,1
Heung-min Son,"Jul 8, 1992 (28)",Attack - Left Winger,€85.00m,"Jun 30, 2026","Aug 28, 2015",51,22,17,7,0
Steven Bergwijn,"Oct 8, 1997 (23)",Attack - Left Winger,€22.00m,"Jun 30, 2025","Jan 19, 2020",35,1,5,7,0
Jack Clarke,"Nov 23, 2000 (20)",Attack - Left Winger,€5.00m,"Jun 30, 2023","Jul 2, 2019",25,2,3,7,0
Lucas Moura,"Aug 13, 1992 (28)",Attack - Right Winger,€25.00m,"Aug 2, 2023","Jan 31, 2018",50,9,8,7,0
Gareth Bale,"Jul 16, 1989 (31)",Attack - Right Winger,€18.00m,"Jun 30, 2022","Sep 1, 2013",34,16,3,2,0
Erik Lamela,"Mar 4, 1992 (29)",Attack - Right Winger,€16.00m,"Jun 30, 2021","Aug 30, 2013",34,4,1,7,1
Harry Kane,"Jul 28, 1993 (27)",Attack - Centre-Forward,€120.00m,"Jun 30, 2024","Jul 1, 2010",49,33,17,7,0
Hugo Lloris,"Dec 26, 1986 (34)",Goalkeeper,€9.00m,"Jan 31, 2024","Aug 31, 2012",43,0,0,4,0
Paulo Gazzaniga,"Jan 2, 1992 (29)",Goalkeeper,€3.00m,"Jun 30, 2023","Jul 24, 2021",15,0,0,20,0
Joe Hart,"Apr 19, 1987 (34)",Goalkeeper,€2.00m,"Jun 30, 2024","Aug 3, 2021",54,0,0,20,0
Alfie Whiteman,"Oct 2, 1998 (22)",Goalkeeper,€1.00m,"Jun 30, 2025","Jul 1, 2019",21,0,0,4,0
Brandon Austin,"Jan 8, 1999 (22)",Goalkeeper,€250k,"Jun 30, 2029","Aug 1, 2021",0,0,0,4,0
Davinson Sánchez,"Jun 12, 1996 (25)",Defender - Centre-Back,€32.00m,"Jun 30, 2024","Aug 23, 2017",32,2,0,4,0
Eric Dier,"Jan 15, 1994 (27)",Defender - Centre-Back,€22.00m,"Jun 30, 2024","Jul 31, 2014",40,0,0,4,0
Ben Davies,"Apr 24, 1993 (28)",Defender - Centre-Back,€16.00m,"Jun 30, 2025","Jul 23, 2014",43,1,1,4,0
Toby Alderweireld,"Mar 2, 1989 (32)",Defender - Centre-Back,€11.00m,"Jun 30, 2024","Jul 27, 2021",29,1,2,20,1
Joe Rodon,"Oct 22, 1997 (23)",Defender - Centre-Back,€10.00m,"Jun 30, 2025","Oct 16, 2020",10,0,0,4,0
Japhet Tanganga,"Mar 31, 1999 (22)",Defender - Centre-Back,€8.00m,"Jun 30, 2024","Jan 1, 2020",19,0,0,4,0
Cameron Carter-Vickers,"Dec 31, 1997 (23)",Defender - Centre-Back,€2.00m,"Jun 30, 2023","Jul 1, 2016",46,4,1,4,1
Sergio Reguilón,"Dec 16, 1996 (24)",Defender - Left-Back,€25.00m,"Jun 30, 2025","Sep 19, 2020",31,2,3,4,0
Ryan Sessegnon,"May 18, 2000 (21)",Defender - Left-Back,€18.00m,"Jun 30, 2024","Aug 8, 2019",22,0,2,4,0
Danny Rose,"Jul 2, 1990 (30)",Defender - Left-Back,€3.00m,"Sep 1, 2022","Jul 1, 2021",9,0,0,19,0
Serge Aurier,"Dec 24, 1992 (28)",Defender - Right-Back,€20.00m,"Jun 30, 2022","Oct 4, 2021",24,0,2,7,1
Matt Doherty,"Jan 16, 1992 (29)",Defender - Right-Back,€16.00m,"Jan 31, 2023","Aug 30, 2020",26,2,4,4,1
Pierre-Emile Højbjerg,"Aug 5, 1995 (25)",Midfield - Defensive Midfield,€35.00m,"Jun 30, 2025","Aug 11, 2020",48,3,4,4,0
Harry Winks,"Feb 2, 1996 (25)",Midfield - Defensive Midfield,€20.00m,"Jun 30, 2024","Jul 1, 2016",30,1,2,4,0
Oliver Skipp,"Sep 16, 2000 (20)",Midfield - Defensive Midfield,€10.00m,"Jun 30, 2027","Jul 1, 2018",28,0,0,4,0
Tanguy Ndombélé,"Dec 28, 1996 (24)",Midfield - Central Midfield,€50.00m,"Jun 30, 2024","Jul 2, 2019",31,3,3,4,0
Giovani Lo Celso,"Apr 9, 1996 (25)",Midfield - Central Midfield,€27.00m,"Jun 30, 2025","Jul 1, 2020",41,2,3,4,0
Moussa Sissoko,"Aug 16, 1989 (31)",Midfield - Central Midfield,€10.00m,"Jun 30, 2024","Aug 27, 2021",38,2,1,19,0
